day,suggested_date,channel,asset,caption,hashtags,landing_url,status,owner,metric
D1,2026-05-29,xhs,marketing/xhs/d1-dream-chase-cover.png,总是梦见被追赶，先别急着害怕，记录情绪和现实压力线索。,梦境解析 心理学 自我成长 睡眠,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=dream_chase,ready,content,收藏率/主页点击
D1,2026-05-29,douyin,marketing/douyin/dream-chase-storyboard.png,梦见被追赶不等于坏预兆，先看梦里的身体感受。,梦境解析 心理学 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=dream_chase,ready,video,完播率/主页点击
D1,2026-05-29,avatar,marketing/digital-human/ep01-opening-storyboard.png,DreamLab AI 心理研究员开场：从一个梦、一次测评、一段反思开始。,AI数字人 心理学教育 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=dreamlab_launch,ready,avatar,完播率/开始体验
D2,2026-05-30,xhs,marketing/xhs/d2-anxiety-check-cover.png,焦虑不是你太脆弱，可能是系统已经过载。,焦虑自救 心理测评 情绪管理 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=anxiety_check,ready,content,收藏率/测评开始
D2,2026-05-30,douyin,marketing/douyin/anxiety-check-storyboard.png,30 秒做一个焦虑自查：睡眠、身体、念头。,焦虑 情绪管理 心理测评,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=anxiety_check,ready,video,完播率/测评开始
D2,2026-05-30,avatar,marketing/digital-human/ep02-freud-dream-storyboard.png,弗洛伊德如何看梦：梦不是固定符号表，而是线索。,弗洛伊德 梦境解析 心理学课程,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=freud_dream,ready,avatar,完播率/梦境记录
D3,2026-05-31,xhs,marketing/xhs/d3-course-route-cover.png,心理学入门别硬啃教材，先从一个真实问题开始。,心理学入门 课程推荐 成长路线,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=course_route,ready,content,课程点击
D3,2026-05-31,douyin,marketing/douyin/course-route-storyboard.png,100 门心理课先学哪 3 门？从梦境、情绪、关系进入。,心理学课程 学习路线 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=course_route,ready,video,课程点击
D3,2026-05-31,avatar,marketing/digital-human/ep03-jung-shadow-storyboard.png,荣格说的阴影不是缺点，而是尚未整合的部分。,荣格 阴影心理学 自我成长,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=jung_shadow,ready,avatar,课程点击/反思开始
D4,2026-06-01,xhs,marketing/xhs/d4-sleep-shutdown-cover.png,睡前反复想事的人，试试这一句关机句式。,睡眠 反思日志 心理工具 情绪稳定,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=sleep_shutdown,ready,content,收藏率/反思开始
D4,2026-06-01,douyin,marketing/douyin/ai-reflect-storyboard.png,AI 不能替代咨询，但可以陪你把混乱感受整理成文字。,AI陪伴 反思日志 心理学教育,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=ai_reflect,ready,video,完播率/反思开始
D4,2026-06-01,avatar,marketing/digital-human/ep04-seven-day-quest-storyboard.png,7 天成长任务：测评、记录、课程、反思，从第一格开始。,成长地图 心理学课程 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=seven_day_quest,ready,avatar,开始体验
D5,2026-06-02,xhs,TBD,你讨厌的人，可能藏着你的阴影主题线索。,荣格 阴影 自我观察,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=jung_shadow,planned,content,收藏率/课程点击
D5,2026-06-02,douyin,TBD,阴影不是缺点，成长不是消灭它，而是整合它。,荣格 心理学 自我成长,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=jung_shadow,planned,video,完播率/课程点击
D5,2026-06-02,avatar,TBD,荣格课程切片：阴影和未被理解的需要。,AI数字人 荣格课程 DreamLab,https://MoKangMedical.github.io/DreamLab/start/?utm_source=avatar&utm_medium=video&utm_campaign=jung_shadow,planned,avatar,完播率/课程点击
D6,2026-06-03,xhs,TBD,3 分钟身体扫描卡：焦虑时先回到身体。,正念 身体扫描 焦虑自救,https://MoKangMedical.github.io/DreamLab/start/?utm_source=xhs&utm_medium=note&utm_campaign=mindfulness_scan,planned,content,收藏率/测评开始
D6,2026-06-03,douyin,TBD,跟我做一次身体扫描：肩颈、呼吸、下颌。,正念练习 情绪调节 心理工具,https://MoKangMedical.github.io/DreamLab/start/?utm_source=douyin&utm_medium=video&utm_campaign=mindfulness_scan,planned,video,完播率/反思开始
